Morphometric parameters of basin:
 
Easting Centroid of basin,489195.00
Northing Centroid of basin,2072655.00
Rectangle containing basin N-W,"('471060', '2092680')"
Rectangle containing basin S-E,"('513630', '2039760')"
Area of basin [km^2],989.801775
Perimeter of basin [km],227.636525830754
Max Elevation [m s.l.m.],646.969411439852
Min Elevation [m s.l.m.],0.0326075545062636
Elevation Difference [m],646.9368038853457
Mean Elevation,136.3463
Mean Slope,4.65
Length of Directing Vector [km],33.6112628742212
"Prevalent Orientation [degree from north, counterclockwise]",1.250701649253028
Compactness Coefficient,6.412284389087794
Circularity Ratio,0.2400347916120696
Topological Diameter,120.0
Elongation Ratio,0.4103977285869175
Shape Factor,11.44258120713636
"Concentration Time (Giandotti, 1934) [hr]",12.561301584730437
Length of Mainchannel [km],86.501616819
Mean slope of mainchannel [percent],1.0508578295624251
Mean hillslope length [m],311.9917
Magnitudo,289.0
Max order (Strahler),        5 
Number of streams,        421 
Total Stream Length [km],     815.5888 
First order stream frequency,0.2919776538085113
Drainage Density [km/km^2],0.8239920563892704
Bifurcation Ratio (Horton),  4.2453 
Length Ratio (Horton),  2.4703 
Area ratio (Horton),   4.6963 
Slope ratio (Horton),  1.3574 
